StatisticsDate,TargetDiseaseCode,TargetDisease,VaccinationStatus,DailyCount,TotalCount,PopulationCoverage
27/12/2020,219,COVID-19,Completed,0,0,0
27/12/2020,219,COVID-19,InProgress,191,191,0.014
28/12/2020,219,COVID-19,InProgress,318,509,0.038
28/12/2020,219,COVID-19,Completed,0,0,0
29/12/2020,219,COVID-19,Completed,0,0,0
29/12/2020,219,COVID-19,InProgress,367,876,0.066
30/12/2020,219,COVID-19,InProgress,1014,1890,0.142
30/12/2020,219,COVID-19,Completed,0,0,0
31/12/2020,219,COVID-19,Completed,0,0,0
31/12/2020,219,COVID-19,InProgress,586,2476,0.186
01/01/2021,219,COVID-19,InProgress,0,2476,0.186
01/01/2021,219,COVID-19,Completed,0,0,0
02/01/2021,219,COVID-19,Completed,0,0,0
02/01/2021,219,COVID-19,InProgress,30,2506,0.189
03/01/2021,219,COVID-19,InProgress,18,2524,0.19
03/01/2021,219,COVID-19,Completed,0,0,0
04/01/2021,219,COVID-19,Completed,0,0,0
04/01/2021,219,COVID-19,InProgress,642,3166,0.238
05/01/2021,219,COVID-19,InProgress,1811,4977,0.374
05/01/2021,219,COVID-19,Completed,0,0,0
06/01/2021,219,COVID-19,Completed,0,0,0
06/01/2021,219,COVID-19,InProgress,1611,6588,0.496
07/01/2021,219,COVID-19,InProgress,1343,7931,0.597
07/01/2021,219,COVID-19,Completed,0,0,0
08/01/2021,219,COVID-19,Completed,0,0,0
08/01/2021,219,COVID-19,InProgress,2215,10146,0.763
09/01/2021,219,COVID-19,InProgress,551,10697,0.805
09/01/2021,219,COVID-19,Completed,0,0,0
10/01/2021,219,COVID-19,Completed,0,0,0
10/01/2021,219,COVID-19,InProgress,223,10920,0.822
11/01/2021,219,COVID-19,InProgress,849,11769,0.886
11/01/2021,219,COVID-19,Completed,1,1,0
12/01/2021,219,COVID-19,Completed,0,1,0
12/01/2021,219,COVID-19,InProgress,1580,13349,1.004
13/01/2021,219,COVID-19,InProgress,1396,14745,1.11
13/01/2021,219,COVID-19,Completed,0,1,0
14/01/2021,219,COVID-19,Completed,0,1,0
14/01/2021,219,COVID-19,InProgress,1780,16525,1.243
15/01/2021,219,COVID-19,InProgress,1281,17806,1.34
15/01/2021,219,COVID-19,Completed,0,1,0
16/01/2021,219,COVID-19,Completed,0,1,0
16/01/2021,219,COVID-19,InProgress,220,18026,1.356
17/01/2021,219,COVID-19,InProgress,30,18056,1.359
17/01/2021,219,COVID-19,Completed,66,67,0.005
18/01/2021,219,COVID-19,Completed,375,442,0.033
18/01/2021,219,COVID-19,InProgress,659,18715,1.408
19/01/2021,219,COVID-19,InProgress,759,19474,1.465
19/01/2021,219,COVID-19,Completed,403,845,0.064
20/01/2021,219,COVID-19,Completed,629,1474,0.111
20/01/2021,219,COVID-19,InProgress,854,20328,1.53
21/01/2021,219,COVID-19,InProgress,1518,21846,1.644
21/01/2021,219,COVID-19,Completed,664,2138,0.161
22/01/2021,219,COVID-19,Completed,268,2406,0.181
22/01/2021,219,COVID-19,InProgress,1236,23082,1.737
23/01/2021,219,COVID-19,InProgress,255,23337,1.756
23/01/2021,219,COVID-19,Completed,3,2409,0.181
24/01/2021,219,COVID-19,Completed,0,2409,0.181
24/01/2021,219,COVID-19,InProgress,161,23498,1.768
25/01/2021,219,COVID-19,InProgress,376,23874,1.796
25/01/2021,219,COVID-19,Completed,687,3096,0.233
26/01/2021,219,COVID-19,Completed,1652,4748,0.357
26/01/2021,219,COVID-19,InProgress,745,24619,1.852
27/01/2021,219,COVID-19,InProgress,641,25260,1.901
27/01/2021,219,COVID-19,Completed,1494,6242,0.47
28/01/2021,219,COVID-19,Completed,1401,7643,0.575
28/01/2021,219,COVID-19,InProgress,1073,26333,1.981
29/01/2021,219,COVID-19,InProgress,1225,27558,2.074
29/01/2021,219,COVID-19,Completed,1984,9627,0.724
30/01/2021,219,COVID-19,Completed,565,10192,0.767
30/01/2021,219,COVID-19,InProgress,266,27824,2.094
31/01/2021,219,COVID-19,InProgress,285,28109,2.115
31/01/2021,219,COVID-19,Completed,253,10445,0.786
01/02/2021,219,COVID-19,Completed,889,11334,0.853
01/02/2021,219,COVID-19,InProgress,720,28829,2.169
02/02/2021,219,COVID-19,InProgress,1248,30077,2.263
02/02/2021,219,COVID-19,Completed,1524,12858,0.968
03/02/2021,219,COVID-19,Completed,1534,14392,1.083
03/02/2021,219,COVID-19,InProgress,1663,31740,2.388
04/02/2021,219,COVID-19,InProgress,2056,33796,2.543
04/02/2021,219,COVID-19,Completed,1557,15949,1.2
05/02/2021,219,COVID-19,Completed,1515,17464,1.314
05/02/2021,219,COVID-19,InProgress,1550,35346,2.66
06/02/2021,219,COVID-19,InProgress,408,35754,2.69
06/02/2021,219,COVID-19,Completed,145,17609,1.325
07/02/2021,219,COVID-19,Completed,46,17655,1.328
07/02/2021,219,COVID-19,InProgress,11,35765,2.691
08/02/2021,219,COVID-19,InProgress,997,36762,2.766
08/02/2021,219,COVID-19,Completed,628,18283,1.376
09/02/2021,219,COVID-19,Completed,870,19153,1.441
09/02/2021,219,COVID-19,InProgress,2278,39040,2.938
10/02/2021,219,COVID-19,InProgress,2592,41632,3.133
10/02/2021,219,COVID-19,Completed,907,20060,1.509
11/02/2021,219,COVID-19,Completed,1286,21346,1.606
11/02/2021,219,COVID-19,InProgress,2756,44388,3.34
12/02/2021,219,COVID-19,InProgress,1534,45922,3.455
12/02/2021,219,COVID-19,Completed,803,22149,1.667
13/02/2021,219,COVID-19,Completed,159,22308,1.679
13/02/2021,219,COVID-19,InProgress,132,46054,3.465
14/02/2021,219,COVID-19,InProgress,2,46056,3.466
14/02/2021,219,COVID-19,Completed,59,22367,1.683
15/02/2021,219,COVID-19,Completed,227,22594,1.7
15/02/2021,219,COVID-19,InProgress,618,46674,3.512
16/02/2021,219,COVID-19,InProgress,1832,48506,3.65
16/02/2021,219,COVID-19,Completed,573,23167,1.743
17/02/2021,219,COVID-19,Completed,663,23830,1.793
17/02/2021,219,COVID-19,InProgress,3668,52174,3.926
18/02/2021,219,COVID-19,InProgress,5288,57462,4.324
18/02/2021,219,COVID-19,Completed,1015,24845,1.869
19/02/2021,219,COVID-19,Completed,1000,25845,1.945
19/02/2021,219,COVID-19,InProgress,3777,61239,4.608
20/02/2021,219,COVID-19,InProgress,588,61827,4.652
20/02/2021,219,COVID-19,Completed,222,26067,1.961
21/02/2021,219,COVID-19,Completed,321,26388,1.986
21/02/2021,219,COVID-19,InProgress,512,62339,4.691
22/02/2021,219,COVID-19,InProgress,2095,64434,4.848
22/02/2021,219,COVID-19,Completed,899,27287,2.053
23/02/2021,219,COVID-19,Completed,919,28206,2.122
23/02/2021,219,COVID-19,InProgress,3788,68222,5.133
24/02/2021,219,COVID-19,InProgress,331,68553,5.158
24/02/2021,219,COVID-19,Completed,132,28338,2.132
25/02/2021,219,COVID-19,Completed,2811,31149,2.344
25/02/2021,219,COVID-19,InProgress,3730,72283,5.439
26/02/2021,219,COVID-19,InProgress,5187,77470,5.829
26/02/2021,219,COVID-19,Completed,2355,33504,2.521
27/02/2021,219,COVID-19,Completed,423,33927,2.553
27/02/2021,219,COVID-19,InProgress,1036,78506,5.907
28/02/2021,219,COVID-19,InProgress,184,78690,5.921
28/02/2021,219,COVID-19,Completed,126,34053,2.562
01/03/2021,219,COVID-19,Completed,1020,35073,2.639
01/03/2021,219,COVID-19,InProgress,2454,81144,6.106
02/03/2021,219,COVID-19,InProgress,2976,84120,6.33
02/03/2021,219,COVID-19,Completed,2302,37375,2.812
03/03/2021,219,COVID-19,Completed,2395,39770,2.993
03/03/2021,219,COVID-19,InProgress,2914,87034,6.549
04/03/2021,219,COVID-19,InProgress,5159,92193,6.937
04/03/2021,219,COVID-19,Completed,2491,42261,3.18
05/03/2021,219,COVID-19,Completed,1521,43782,3.294
05/03/2021,219,COVID-19,InProgress,5581,97774,7.357
06/03/2021,219,COVID-19,InProgress,3592,101366,7.627
06/03/2021,219,COVID-19,Completed,162,43944,3.307
07/03/2021,219,COVID-19,Completed,4,43948,3.307
07/03/2021,219,COVID-19,InProgress,995,102361,7.702
08/03/2021,219,COVID-19,InProgress,3433,105794,7.961
08/03/2021,219,COVID-19,Completed,247,44195,3.325
09/03/2021,219,COVID-19,Completed,1071,45266,3.406
09/03/2021,219,COVID-19,InProgress,4044,109838,8.265
10/03/2021,219,COVID-19,InProgress,4026,113864,8.568
10/03/2021,219,COVID-19,Completed,2451,47717,3.591
11/03/2021,219,COVID-19,Completed,2931,50648,3.811
11/03/2021,219,COVID-19,InProgress,8193,122057,9.184
12/03/2021,219,COVID-19,InProgress,5742,127799,9.616
12/03/2021,219,COVID-19,Completed,1928,52576,3.956
13/03/2021,219,COVID-19,Completed,79,52655,3.962
13/03/2021,219,COVID-19,InProgress,5433,133232,10.025
14/03/2021,219,COVID-19,InProgress,5277,138509,10.422
14/03/2021,219,COVID-19,Completed,15,52670,3.963
15/03/2021,219,COVID-19,Completed,264,52934,3.983
15/03/2021,219,COVID-19,InProgress,3366,141875,10.676
16/03/2021,219,COVID-19,InProgress,3757,145632,10.958
16/03/2021,219,COVID-19,Completed,797,53731,4.043
17/03/2021,219,COVID-19,Completed,256,53987,4.062
17/03/2021,219,COVID-19,InProgress,5183,150815,11.348
18/03/2021,219,COVID-19,InProgress,6651,157466,11.849
18/03/2021,219,COVID-19,Completed,785,54772,4.121
19/03/2021,219,COVID-19,Completed,2172,56944,4.285
19/03/2021,219,COVID-19,InProgress,6459,163925,12.335
20/03/2021,219,COVID-19,InProgress,2227,166152,12.502
20/03/2021,219,COVID-19,Completed,57,57001,4.289
21/03/2021,219,COVID-19,Completed,20,57021,4.291
21/03/2021,219,COVID-19,InProgress,1324,167476,12.602
22/03/2021,219,COVID-19,InProgress,1953,169429,12.749
22/03/2021,219,COVID-19,Completed,537,57558,4.331
23/03/2021,219,COVID-19,Completed,180,57738,4.345
23/03/2021,219,COVID-19,InProgress,2753,172182,12.956
